StationName,closeness_centrality
巴沟,0.042202577720624704
苏州街,0.04360175269421651
海淀黄庄,0.04506885814579206
知春里,0.045758890602877626
知春路,0.04657056427167745
西土城,0.047181315431417424
牡丹园,0.04847345590622083
健德门,0.0481291690066682
北土城,0.04839803644309775
安贞门,0.04801034718109509
惠新西街南口,0.04803099672472088
芍药居,0.04648948740873732
太阳宫,0.044853975322769565
三元桥,0.04564902564523635
亮马桥,0.04605027650678033
农业展览馆,0.04672331184295412
团结湖,0.04746876240730538
呼家楼,0.048671926054874276
金台夕照,0.04867059118451647
国贸,0.04874671081116428
双井,0.04769650785052065
劲松,0.04654066191406997
潘家园,0.04560280143011509
十里河,0.045031179250867165
分钟寺,0.042686472242416874
成寿寺,0.04293639096015519
宋家庄,0.044462673632764745
石榴庄,0.04365626735835973
大红门,0.04368170691093745
角门东,0.04404254401033261
角门西,0.04516575373294417
草桥,0.043749758189547475
纪家庙,0.04260740455013787
首经贸,0.04217387970321003
丰台站,0.041731495953401226
泥洼,0.042549743290535215
西局,0.04361873808883177
六里桥,0.044951103386448324
莲花桥,0.04678856953256429
公主坟,0.048328485266672466
西钓鱼台,0.04560230473557254
慈寿寺,0.04565794162336164
车道沟,0.044013711790445706
长春桥,0.04316743861223799
火器营,0.042403693294251685
模式口,0.027733203789805937
金安桥,0.029075110001044346
北辛安,0.02821543279779178
新首钢,0.027705927954990228
西直门,0.05154331499788401
大钟寺,0.04704468865910033
五道口,0.04299056625992479
上地,0.035404192689555775
清河站,0.03430237898436958
西二旗,0.032346222449768515
龙泽,0.030296449669249863
回龙观,0.030266615599559673
霍营,0.03070294876673685
立水桥,0.03545954758377044
北苑,0.03383722925362258
望京西,0.04179755320996185
光熙门,0.04616261603047748
柳芳,0.04708856453621684
东直门,0.049441156562422754
善各庄,0.03375174487223551
来广营,0.035804353813191005
东湖渠,0.03730283553903365
望京,0.03949520188727461
阜通,0.03864798359721023
望京南,0.03803090189505047
将台,0.03892265681038565
东风北桥,0.03999434958783581
枣营,0.04239090216695704
朝阳公园,0.04445006595240057
金台路,0.04649144542112399
大望路,0.04683048636079235
九龙山,0.04549671723579364
平乐园,0.044492082361320115
北工大西门,0.04357303237139961
方庄,0.04620452652033316
蒲黄榆,0.04798459708995597
景泰,0.048004606846122524
永定门外,0.049110427376770315
北京南站,0.049056438141179416
景风门,0.047157978674016526
西铁营,0.04563814752999986
菜户营,0.0439433383168926
丽泽商务区,0.043342084671706374
东管头,0.04293534583323311
七里庄,0.042601917689794204
大井,0.03970321090724254
郭庄子,0.036818314211080776
大瓦窑,0.03470767558466522
园博园,0.0309462481412042
张郭庄,0.029494351271395634
俸伯,0.017352149525984375
顺义,0.018185566176929336
石门,0.018648929799668357
南法信,0.01967712236239315
后沙峪,0.021995893620609195
花梨坎,0.02398523998327403
国展,0.02504124846546307
孙河,0.028107939525657356
马泉营,0.031445488384299065
崔各庄,0.03364644831707367
望京东,0.03671157924264336
关庄,0.04143258939931597
大屯路东,0.043484854040720736
安立路,0.04320682293819093
奥林匹克公园,0.04383101112217973
北沙滩,0.042583950262831204
六道口,0.04314973548275677
清华东路西口,0.041032801653877564
北安河,0.020685755714575964
温阳路,0.021897426167683528
稻香湖路,0.023065869802778294
屯佃,0.024408989514378122
永丰,0.0258392503176907
永丰南,0.026872662198731037
西北旺,0.028915884622954763
马连洼,0.031589728086454064
农大南路,0.033719282525578306
西苑,0.03774147560465002
万泉河桥,0.040980302444338354
苏州桥,0.04436414728759153
万寿寺,0.045683397191783714
国家图书馆,0.04838668381923977
二里沟,0.050343471750581556
甘家口,0.05017749746132731
玉渊潭东门,0.050369248399537825
木樨地,0.05112458923558905
